"dataset","dep_var","likelihood","model_id"
16,"linearage","skewnorm",218
16,"logage","norm",219
16,"logage","sinh",220
16,"logage","skewnorm",221
16,"logratio","norm",222
16,"logratio","sinh",223
16,"logratio","skewnorm",224
17,"diff","norm",225
17,"diff","sinh",226
17,"diff","skewnorm",227
17,"linearage","beta",228
17,"linearage","gamma",229
17,"linearage","norm",230
17,"linearage","sinh",231
17,"linearage","skewnorm",232
17,"logage","norm",233
17,"logage","sinh",234
17,"logage","skewnorm",235
17,"logratio","norm",236
17,"logratio","sinh",237
17,"logratio","skewnorm",238
18,"diff","norm",239
18,"diff","sinh",240
18,"diff","skewnorm",241
18,"linearage","beta",242
18,"linearage","gamma",243
18,"linearage","norm",244
18,"linearage","sinh",245
18,"linearage","skewnorm",246
18,"logage","norm",247
18,"logage","sinh",248
18,"logage","skewnorm",249
18,"logratio","norm",250
18,"logratio","sinh",251
18,"logratio","skewnorm",252
19,"diff","norm",253
19,"diff","sinh",254
19,"diff","skewnorm",255
19,"linearage","beta",256
19,"linearage","gamma",257
19,"linearage","norm",258
19,"linearage","sinh",259
19,"linearage","skewnorm",260
19,"logage","norm",261
19,"logage","sinh",262
19,"logage","skewnorm",263
19,"logratio","norm",264
19,"logratio","sinh",265
19,"logratio","skewnorm",266
20,"diff","norm",267
20,"diff","sinh",268
20,"diff","skewnorm",269
20,"linearage","beta",270
20,"linearage","gamma",271
20,"linearage","norm",272
20,"linearage","sinh",273
20,"linearage","skewnorm",274
20,"logage","norm",275
20,"logage","sinh",276
20,"logage","skewnorm",277
20,"logratio","norm",278
20,"logratio","sinh",279
20,"logratio","skewnorm",280
21,"diff","norm",281
21,"diff","sinh",282
21,"diff","skewnorm",283
21,"linearage","beta",284
21,"linearage","gamma",285
21,"linearage","norm",286
21,"linearage","sinh",287
21,"linearage","skewnorm",288
21,"logage","norm",289
21,"logage","sinh",290
21,"logage","skewnorm",291
21,"logratio","norm",292
21,"logratio","sinh",293
21,"logratio","skewnorm",294
22,"diff","norm",295
22,"diff","sinh",296
22,"diff","skewnorm",297
22,"linearage","beta",298
22,"linearage","gamma",299
22,"linearage","norm",300
22,"linearage","sinh",301
22,"linearage","skewnorm",302
22,"logage","norm",303
22,"logage","sinh",304
22,"logage","skewnorm",305
22,"logratio","norm",306
22,"logratio","sinh",307
22,"logratio","skewnorm",308
23,"diff","norm",309
23,"diff","sinh",310
23,"diff","skewnorm",311
23,"linearage","beta",312
23,"linearage","gamma",313
23,"linearage","norm",314
23,"linearage","sinh",315
23,"linearage","skewnorm",316
23,"logage","norm",317
23,"logage","sinh",318
23,"logage","skewnorm",319
23,"logratio","norm",320
23,"logratio","sinh",321
23,"logratio","skewnorm",322
24,"diff","norm",323
24,"diff","sinh",324
24,"diff","skewnorm",325
24,"linearage","beta",326
24,"linearage","gamma",327
24,"linearage","norm",328
24,"linearage","sinh",329
24,"linearage","skewnorm",330
24,"logage","norm",331
24,"logage","sinh",332
24,"logage","skewnorm",333
24,"logratio","norm",334
24,"logratio","sinh",335
24,"logratio","skewnorm",336
25,"diff","norm",337
25,"diff","sinh",338
25,"diff","skewnorm",339
25,"linearage","beta",340
25,"linearage","gamma",341
25,"linearage","norm",342
25,"linearage","sinh",343
25,"linearage","skewnorm",344
25,"logage","norm",345
25,"logage","sinh",346
25,"logage","skewnorm",347
25,"logratio","norm",348
25,"logratio","sinh",349
25,"logratio","skewnorm",350
26,"diff","norm",351
26,"diff","sinh",352
26,"diff","skewnorm",353
26,"linearage","beta",354
26,"linearage","gamma",355
26,"linearage","norm",356
26,"linearage","sinh",357
26,"linearage","skewnorm",358
26,"logage","norm",359
26,"logage","sinh",360
26,"logage","skewnorm",361
26,"logratio","norm",362
26,"logratio","sinh",363
26,"logratio","skewnorm",364
27,"diff","norm",365
27,"diff","sinh",366
27,"diff","skewnorm",367
27,"linearage","beta",368
27,"linearage","gamma",369
27,"linearage","norm",370
27,"linearage","sinh",371
27,"linearage","skewnorm",372
27,"logage","norm",373
27,"logage","sinh",374
27,"logage","skewnorm",375
27,"logratio","norm",376
27,"logratio","sinh",377
27,"logratio","skewnorm",378
28,"diff","norm",379
28,"diff","sinh",380
28,"diff","skewnorm",381
28,"linearage","beta",382
28,"linearage","gamma",383
28,"linearage","norm",384
28,"linearage","sinh",385
28,"linearage","skewnorm",386
28,"logage","norm",387
28,"logage","sinh",388
28,"logage","skewnorm",389
28,"logratio","norm",390
28,"logratio","sinh",391
28,"logratio","skewnorm",392
29,"diff","norm",393
29,"diff","sinh",394
29,"diff","skewnorm",395
29,"linearage","beta",396
29,"linearage","gamma",397
29,"linearage","norm",398
29,"linearage","sinh",399
29,"linearage","skewnorm",400
29,"logage","norm",401
29,"logage","sinh",402
29,"logage","skewnorm",403
29,"logratio","norm",404
29,"logratio","sinh",405
29,"logratio","skewnorm",406
30,"diff","norm",407
30,"diff","sinh",408
30,"diff","skewnorm",409
30,"linearage","beta",410
30,"linearage","gamma",411
30,"linearage","norm",412
30,"linearage","sinh",413
30,"linearage","skewnorm",414
30,"logage","norm",415
30,"logage","sinh",416
30,"logage","skewnorm",417
30,"logratio","norm",418
30,"logratio","sinh",419
30,"logratio","skewnorm",420
31,"diff","norm",421
31,"diff","sinh",422
31,"diff","skewnorm",423
31,"linearage","beta",424
31,"linearage","gamma",425
31,"linearage","norm",426
31,"linearage","sinh",427
31,"linearage","skewnorm",428
31,"logage","norm",429
31,"logage","sinh",430
31,"logage","skewnorm",431
31,"logratio","norm",432
31,"logratio","sinh",433
31,"logratio","skewnorm",434
32,"diff","norm",435
32,"diff","sinh",436
32,"diff","skewnorm",437
32,"linearage","beta",438
32,"linearage","gamma",439
32,"linearage","norm",440
32,"linearage","sinh",441
32,"linearage","skewnorm",442
32,"logage","norm",443
32,"logage","sinh",444
32,"logage","skewnorm",445
32,"logratio","norm",446
32,"logratio","sinh",447
32,"logratio","skewnorm",448
33,"diff","norm",449
33,"diff","sinh",450
33,"diff","skewnorm",451
33,"linearage","beta",452
33,"linearage","gamma",453
33,"linearage","norm",454
33,"linearage","sinh",455
33,"linearage","skewnorm",456
33,"logage","norm",457
33,"logage","sinh",458
33,"logage","skewnorm",459
33,"logratio","norm",460
33,"logratio","sinh",461
33,"logratio","skewnorm",462
34,"diff","norm",463
34,"diff","sinh",464
34,"diff","skewnorm",465
34,"linearage","beta",466
34,"linearage","gamma",467
34,"linearage","norm",468
34,"linearage","sinh",469
34,"linearage","skewnorm",470
34,"logage","norm",471
34,"logage","sinh",472
34,"logage","skewnorm",473
34,"logratio","norm",474
34,"logratio","sinh",475
34,"logratio","skewnorm",476
35,"diff","norm",477
35,"diff","sinh",478
35,"diff","skewnorm",479
35,"linearage","beta",480
35,"linearage","gamma",481
35,"linearage","norm",482
35,"linearage","sinh",483
35,"linearage","skewnorm",484
35,"logage","norm",485
35,"logage","sinh",486
35,"logage","skewnorm",487
35,"logratio","norm",488
35,"logratio","sinh",489
35,"logratio","skewnorm",490
36,"diff","norm",491
36,"diff","sinh",492
36,"diff","skewnorm",493
36,"linearage","beta",494
36,"linearage","gamma",495
36,"linearage","norm",496
36,"linearage","sinh",497
36,"linearage","skewnorm",498
36,"logage","norm",499
36,"logage","sinh",500
36,"logage","skewnorm",501
36,"logratio","norm",502
36,"logratio","sinh",503
36,"logratio","skewnorm",504
37,"diff","norm",505
37,"diff","sinh",506
37,"diff","skewnorm",507
37,"linearage","beta",508
37,"linearage","gamma",509
37,"linearage","norm",510
37,"linearage","sinh",511
37,"linearage","skewnorm",512
37,"logage","norm",513
37,"logage","sinh",514
37,"logage","skewnorm",515
37,"logratio","norm",516
37,"logratio","sinh",517
37,"logratio","skewnorm",518
38,"diff","norm",519
38,"diff","sinh",520
38,"diff","skewnorm",521
38,"linearage","beta",522
38,"linearage","gamma",523
38,"linearage","norm",524
38,"linearage","sinh",525
38,"linearage","skewnorm",526
38,"logage","norm",527
38,"logage","sinh",528
38,"logage","skewnorm",529
38,"logratio","norm",530
38,"logratio","sinh",531
38,"logratio","skewnorm",532
39,"diff","norm",533
39,"diff","sinh",534
39,"diff","skewnorm",535
39,"linearage","beta",536
39,"linearage","gamma",537
39,"linearage","norm",538
39,"linearage","sinh",539
39,"linearage","skewnorm",540
39,"logage","norm",541
39,"logage","sinh",542
39,"logage","skewnorm",543
39,"logratio","norm",544
39,"logratio","sinh",545
39,"logratio","skewnorm",546
40,"diff","norm",547
40,"diff","sinh",548
40,"diff","skewnorm",549
40,"linearage","beta",550
40,"linearage","gamma",551
40,"linearage","norm",552
40,"linearage","sinh",553
40,"linearage","skewnorm",554
40,"logage","norm",555
40,"logage","sinh",556
40,"logage","skewnorm",557
40,"logratio","norm",558
40,"logratio","sinh",559
40,"logratio","skewnorm",560
41,"diff","norm",561
41,"diff","sinh",562
41,"diff","skewnorm",563
41,"linearage","beta",564
41,"linearage","gamma",565
41,"linearage","norm",566
41,"linearage","sinh",567
41,"linearage","skewnorm",568
41,"logage","norm",569
41,"logage","sinh",570
41,"logage","skewnorm",571
41,"logratio","norm",572
41,"logratio","sinh",573
41,"logratio","skewnorm",574
42,"diff","norm",575
42,"diff","sinh",576
42,"diff","skewnorm",577
42,"linearage","beta",578
42,"linearage","gamma",579
42,"linearage","norm",580
42,"linearage","sinh",581
42,"linearage","skewnorm",582
42,"logage","norm",583
42,"logage","sinh",584
42,"logage","skewnorm",585
42,"logratio","norm",586
42,"logratio","sinh",587
42,"logratio","skewnorm",588
43,"diff","norm",589
43,"diff","sinh",590
43,"diff","skewnorm",591
43,"linearage","beta",592
43,"linearage","gamma",593
43,"linearage","norm",594
43,"linearage","sinh",595
43,"linearage","skewnorm",596
43,"logage","norm",597
43,"logage","sinh",598
43,"logage","skewnorm",599
43,"logratio","norm",600
43,"logratio","sinh",601
43,"logratio","skewnorm",602
44,"diff","norm",603
44,"diff","sinh",604
44,"diff","skewnorm",605
44,"linearage","beta",606
44,"linearage","gamma",607
44,"linearage","norm",608
44,"linearage","sinh",609
44,"linearage","skewnorm",610
44,"logage","norm",611
44,"logage","sinh",612
44,"logage","skewnorm",613
44,"logratio","norm",614
44,"logratio","sinh",615
44,"logratio","skewnorm",616
45,"diff","norm",617
45,"diff","sinh",618
45,"diff","skewnorm",619
45,"linearage","beta",620
45,"linearage","gamma",621
45,"linearage","norm",622
45,"linearage","sinh",623
45,"linearage","skewnorm",624
45,"logage","norm",625
45,"logage","sinh",626
45,"logage","skewnorm",627
45,"logratio","norm",628
45,"logratio","sinh",629
45,"logratio","skewnorm",630
46,"diff","norm",631
46,"diff","sinh",632
46,"diff","skewnorm",633
46,"linearage","beta",634
46,"linearage","gamma",635
46,"linearage","norm",636
46,"linearage","sinh",637
46,"linearage","skewnorm",638
46,"logage","norm",639
46,"logage","sinh",640
46,"logage","skewnorm",641
46,"logratio","norm",642
46,"logratio","sinh",643
46,"logratio","skewnorm",644
47,"diff","norm",645
47,"diff","sinh",646
47,"diff","skewnorm",647
47,"linearage","beta",648
47,"linearage","gamma",649
47,"linearage","norm",650
47,"linearage","sinh",651
47,"linearage","skewnorm",652
47,"logage","norm",653
47,"logage","sinh",654
47,"logage","skewnorm",655
47,"logratio","norm",656
47,"logratio","sinh",657
47,"logratio","skewnorm",658
48,"diff","norm",659
48,"diff","sinh",660
48,"diff","skewnorm",661
48,"linearage","beta",662
48,"linearage","gamma",663
48,"linearage","norm",664
48,"linearage","sinh",665
48,"linearage","skewnorm",666
48,"logage","norm",667
48,"logage","sinh",668
48,"logage","skewnorm",669
48,"logratio","norm",670
48,"logratio","sinh",671
48,"logratio","skewnorm",672
